username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-05-06 10:57,0,0,"#May6WithArnab #Republic exposes Lalu What a comeback Arnab! #arnabgoswami #ArnabWithYouSoon #ArnabIsBack #arnab #lalu",,,#May6WithArnab #Republic #arnabgoswami #ArnabWithYouSoon #ArnabIsBack #arnab #lalu,"860727673068433409",https://twitter.com/katrinakaifblog/status/860727673068433409
,2017-05-06 10:57,0,0,"#republictv #ArnabIsBack Live pic.twitter.com/3U4r28XTPM",,,#republictv #ArnabIsBack,"860727627438587904",https://twitter.com/utsabnov/status/860727627438587904
,2017-05-06 10:56,1,3,"welcome back #arnabgoswami to preach us "What #IndiaWantsToKnow "!!! #May6WithArnab #ArnabWithYouSoon #ArnabIsBack #RepublicLiveSoon",,,#arnabgoswami #IndiaWantsToKnow #May6WithArnab #ArnabWithYouSoon #ArnabIsBack #RepublicLiveSoon,"860727532253057024",https://twitter.com/RedHotAnita/status/860727532253057024
,2017-05-06 10:56,0,0,"#LaluTapeExposed Wow what an opening #BreakingNews by @republic Hope to see honest Journalism and kept away from influences... #ArnabIsBack",,@republic,#LaluTapeExposed #BreakingNews #ArnabIsBack,"860727459188273154",https://twitter.com/Sohamkavathekar/status/860727459188273154
,2017-05-06 10:56,0,0,". @republic Good to see #ArnabIsBack !! Great story you picked up #LaluTape ! Wud yr tech team work on sound quality..its unclear & echoing",,@republic,#ArnabIsBack #LaluTape,"860727338409099264",https://twitter.com/RaiAtulRai/status/860727338409099264
,2017-05-06 10:55,1,0,"However you hate #Arnab you can not ignore him. A stunning story at the outset of #Republic #ArnabIsBack #LaluTapeExposed",,,#Arnab #Republic #ArnabIsBack #LaluTapeExposed,"860727177620226048",https://twitter.com/DaringDeepa/status/860727177620226048
,2017-05-06 10:55,0,0,"#ArnabIsBack with a bang. Do @NitishKumar has guts to take action against criminal @laluprasadrjd on @republic 's #LaluTapeExpose",,@NitishKumar @laluprasadrjd @republic,#ArnabIsBack #LaluTapeExpose,"860727076395069440",https://twitter.com/anuz1985/status/860727076395069440
,2017-05-06 10:54,0,2,"For those who missed the start of @RealArnabG at the @republic , here it is https:// youtu.be/IhMkMtnZNZo #ArnabIsBack #ArnabGoswami #republictv",,@RealArnabG @republic,#ArnabIsBack #ArnabGoswami #republictv,"860727001723711488",https://twitter.com/francis_joseph/status/860727001723711488
,2017-05-06 10:54,1,1,"#ArnabIsBack First Day First Dhamaka Tape of Lalu Prasad Yadav taking instructions from Murder Convicted Mohd Shahabuddin #Republic",,,#ArnabIsBack #Republic,"860726977224818690",https://twitter.com/PalavajalaPhani/status/860726977224818690
,2017-05-06 10:54,0,0,"#May6WithArnab #republictv #Republic #ArnabIsBack #LaluPrasadYadav #LaluTapeExposed #Shahbuddin pic.twitter.com/mySSDpS5oe",,,#May6WithArnab #republictv #Republic #ArnabIsBack #LaluPrasadYadav #LaluTapeExposed #Shahbuddin,"860726889765195777",https://twitter.com/anshul_chavhan/status/860726889765195777
,2017-05-06 10:54,1,0,"The people will force Nitish Kumar to act. The will of the people will prevail. The will of the people is supreme. #ArnabIsBack https:// twitter.com/SushilModi/sta tus/860719955460984833 …",,,#ArnabIsBack,"860726880202354690",https://twitter.com/Synergyspeak/status/860726880202354690
,2017-05-06 10:54,0,1,"Now that #ArnabIsBack , Where is the real ArnUB ( @ChhotaThalaiva )? Dear @AllIndiaBakchod , the nation is still wondering.",,@ChhotaThalaiva @AllIndiaBakchod,#ArnabIsBack,"860726858261856256",https://twitter.com/shivanibazaz/status/860726858261856256
